participantId,timestamp,x,y,z
1,6570,2020,-2709,2602
1,6610,1971,-2562,2518
1,6650,1993,-2544,2605
1,6691,2244,-2482,2521
1,6730,2190,-2732,2644
1,6771,2176,-2684,2454
1,6811,1968,-2533,2797
1,6851,2111,-2626,2473
1,6892,2275,-2506,2594
1,6931,2004,-2864,2663
1,6971,2057,-2435,2485
1,7011,2014,-2602,2538
1,7051,2198,-2540,2541
1,7092,2210,-2716,2632
1,7131,2059,-2717,2465
1,7171,2121,-2571,2703
1,7211,2090,-2568,2459
1,7251,2147,-2722,2630
1,7293,2174,-2841,2519
1,7332,2217,-2753,2421
1,7372,2113,-2742,2625
1,7412,2032,-2575,2463
1,7452,2119,-2685,2578
1,7493,2216,-2631,2567
1,7532,2091,-2644,2464
1,7572,1983,-2636,2635
1,7612,2111,-2863,2586
1,7652,2095,-2658,2409
1,7693,2159,-2649,2591
1,7732,1955,-2580,2634
1,7772,2029,-2871,2531
1,7812,2148,-2612,2549
1,7853,2023,-2604,2520
1,7894,2115,-2663,2451
1,7932,2103,-2750,2521
1,7973,2207,-2855,2342
1,8013,2145,-2760,2571
1,8053,2043,-2740,2501
1,8093,2068,-2645,2576
1,8132,2135,-2622,2477
1,8173,2173,-2666,2547
1,8213,2112,-2632,2462
1,8253,2152,-2683,2510
1,8294,2180,-2639,2531
1,8333,2137,-2620,2491
1,8373,2173,-2616,2458
